,label,category,address,outgoing_txns,incoming_txns,total_eth_sent,avg_eth_sent,total_usd_sent,avg_usd_sent,total_eth_recd,avg_eth_recd,total_usd_recd,avg_usd_recd,active_months,monthly_outgoing_txns,monthly_incoming_txns,monthly_eth_sent,monthly_usd_sent,monthly_eth_recd,monthly_usd_recd,contracts_created,contract_txns_sent,incoming_avg_time_btwn_txns,incoming_std_time_btwn_txns,outgoing_avg_time_btwn_txns,outgoing_std_time_btwn_txns,num_tokens_used,eth_balance,cluster
53,Binance_5,Binance,0xfe9e8709d3215310075d67e3ed32a380ccf451c8,54,12891,1403296.296705348,25986.968457506,562331907.8055685,10413553.848251268,1953070.898413558,151.50654708,1246235769.9014685,96674.87160821355,12,4.5,1074.25,116941.358058779,46860992.31713071,162755.90820113,103852980.82512237,0,0,2161.261830876648,58662.88810457781,526969.0188679245,1425242.0716719225,248,549774.171806276,101
54,Binance_5,Exchange,0xfe9e8709d3215310075d67e3ed32a380ccf451c8,54,12891,1403296.296705348,25986.968457506,562331907.8055685,10413553.848251268,1953070.898413558,151.50654708,1246235769.9014685,96674.87160821355,12,4.5,1074.25,116941.358058779,46860992.31713071,162755.90820113,103852980.82512237,0,0,2161.261830876648,58662.88810457781,526969.0188679245,1425242.0716719225,248,549774.171806276,101
55,HitBTC_3,Exchange,0xa12431d0b9db640034b0cdfceef9cce161e62be4,4052,161166,1490282.98549,367.789483092,765975390.7873013,189036.3748241121,1509357.219587492,9.365233483,768745978.6255586,4769.901707714721,12,337.6666666666667,13430.5,124190.248790833,63831282.56560844,125779.768298958,64062164.885463215,0,0,171.2701889368039,4489.169533600829,6807.226117008146,13653.379839718216,512,14568.101615506,101
56,Coinex,Exchange,0xb9ee1e551f538a464e8f8c41e9904498505b49b0,39693,60874,525466.786245862,13.238273405,191401870.08887702,4822.056032269623,531991.475517737,8.73922324,195124140.19057372,3205.37733992465,12,3307.75,5072.833333333333,43788.898853822,15950155.840739751,44332.622959811,16260345.015881144,0,0,460.33597818408816,2238.625578120325,705.725461050086,3172.8281477333394,107,3482.34069608,101
57,Cobinhood_1,Exchange,0x8958618332df62af93053cb9c535e26462c959b0,71490,48829,160574.295008772,2.246108477,98955273.55364466,1384.1834319995091,148738.15377597,3.046102803,91575640.01660186,1875.4354997358475,12,5957.5,4069.0833333333335,13381.191250731,8246272.796137054,12394.846147998,7631303.334716822,0,0,582.1569181617108,2613.63571515599,397.6159688903187,1025.752358066251,138,796.746707681,101
58,Bitfinex_4,Exchange,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,354569,507223,24129238.646573309,68.052307581,14131437521.808165,39855.25390490645,25289233.372930583,49.858214972,14927456128.76484,29429.76980295624,12,29547.416666666668,42268.583333333336,2010769.887214442,1177619793.4840138,2107436.114410882,1243954677.39707,0,0,58.09780727176658,124.77389649265722,83.10808646014303,204.66049719412436,203,50050.301872736,101
59,Coinbene,Exchange,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,142312,100078,809847.1728326,5.690645714,365695802.45462304,2569.6765027168,816172.593221534,8.155364748,370462947.397056,3701.7421151208123,12,11859.333333333334,8339.833333333334,67487.264402717,30474650.20455192,68014.382768461,30871912.283088,0,0,281.7777711162405,2880.1683242336026,198.13448011748932,713.1814046061783,241,7976.847417586,101
60,Atlant_Wallet2,ICO Wallets,0x36e6dadc5a045a86dbc9ecfeda5c459784d3537f,45,8,1174.752,26.1056,571806.4475400001,12706.809945333333,4371.123,546.390375,1787128.4215599997,223391.05269500002,13,3.4615384615384617,0.6153846153846154,90.365538462,43985.11134923078,336.240230769,137471.4170430769,0,0,3239594.8571428573,8233298.430040851,701112.9545454546,837402.7384194912,16,3278.875328623,1
61,BitUN.io_1,Exchange,0xaa90b4aae74cee41e004bc45e45a427406c4dcae,186,10479,175942.901,945.929575269,62379170.61555,335371.8850298388,196191.430197741,18.7223428,69514582.71085505,6633.703856365578,13,14.307692307692308,806.0769230769231,13534.069307692,4798397.739657692,15091.648476749,5347275.593142697,0,0,2972.2463256346637,100028.22235233487,116278.84864864864,275104.7251869037,65,19718.363362519,101
62,Atlant_Wallet1,ICO Wallets,0x126d407584cf73ba5d15102bab0e578a64cca3f1,10,6,340.5,34.05,298290.46,29829.046,4470.5015081,745.083584683,2072676.626295095,345446.10438251577,13,0.7692307692307693,0.46153846153846156,26.192307692,22945.420000000002,343.884731392,159436.66356116117,0,0,4526798.6,7169534.78517022,1551074.2222222222,1747137.2863624496,16,4129.996932542,1
63,Copytrack_Wallet,ICO Wallets,0x9df172fc167a8a567c208fc14e3435eb8043e2b7,24,14,12600.2573791,525.010724129,8717385.505535845,363224.39606399357,2038.133706,145.580979,950447.6926631199,67889.12090450857,13,1.8461538461538463,1.0769230769230769,969.250567623,670568.1158104496,156.779515846,73111.36097408614,0,0,859756.6923076923,2213112.582857772,319090.60869565216,442077.65558314003,11,171.603819119,1
